app_url,package_name,playstore_ranking_country,ranking
https://play.google.com/store/apps/details?id=com.mini.ludo.game,com.mini.ludo.game,India,303
https://play.google.com/store/apps/details?id=truecaller.caller.callerid.name.phone.dialer,truecaller.caller.callerid.name.phone.dialer,India,304
https://play.google.com/store/apps/details?id=com.quok.repairMaster3d,com.quok.repairMaster3d,India,305
https://play.google.com/store/apps/details?id=com.outplayentertainment.aliencreeps,com.outplayentertainment.aliencreeps,India,306
https://play.google.com/store/apps/details?id=com.jio.join,com.jio.join,India,307
https://play.google.com/store/apps/details?id=com.thankyo.hwgame,com.thankyo.hwgame,India,308
https://play.google.com/store/apps/details?id=net.promediastudio.royalgirlsprincesssalon,net.promediastudio.royalgirlsprincesssalon,India,309
https://play.google.com/store/apps/details?id=com.GMA.Ball.Sort.Puzzle,com.GMA.Ball.Sort.Puzzle,India,310
https://play.google.com/store/apps/details?id=com.superplusgames.hosandroid,com.superplusgames.hosandroid,India,311
https://play.google.com/store/apps/details?id=fc.admin.fcexpressadmin,fc.admin.fcexpressadmin,India,312
https://play.google.com/store/apps/details?id=com.neqwot.newhityac,com.neqwot.newhityac,India,313
https://play.google.com/store/apps/details?id=com.stucare.ayush,com.stucare.ayush,India,314
https://play.google.com/store/apps/details?id=com.mgc.miami.crime.simulator.two,com.mgc.miami.crime.simulator.two,India,315
https://play.google.com/store/apps/details?id=com.azurgames.stackball,com.azurgames.stackball,India,316
https://play.google.com/store/apps/details?id=com.funcamerastudio.videomaker,com.funcamerastudio.videomaker,India,317
https://play.google.com/store/apps/details?id=io.voodoo.crowdcity,io.voodoo.crowdcity,India,318
https://play.google.com/store/apps/details?id=com.google.android.apps.photos,com.google.android.apps.photos,India,319
https://play.google.com/store/apps/details?id=com.devgame66.csshot,com.devgame66.csshot,India,320
https://play.google.com/store/apps/details?id=com.cyberlink.youcammakeup,com.cyberlink.youcammakeup,India,402
https://play.google.com/store/apps/details?id=com.azarlive.android,com.azarlive.android,India,403
https://play.google.com/store/apps/details?id=ru.zdevs.zarchiver,ru.zdevs.zarchiver,India,404
https://play.google.com/store/apps/details?id=com.Dominos,com.Dominos,India,405
https://play.google.com/store/apps/details?id=com.lbe.parallel.intl,com.lbe.parallel.intl,India,406
https://play.google.com/store/apps/details?id=com.sbkgames.RacingLimits,com.sbkgames.RacingLimits,India,407
https://play.google.com/store/apps/details?id=com.zapak.littlekrishnarunner,com.zapak.littlekrishnarunner,India,408
https://play.google.com/store/apps/details?id=com.google.android.webview,com.google.android.webview,India,409
https://play.google.com/store/apps/details?id=com.sky.funnyfruitsplash,com.sky.funnyfruitsplash,India,410
https://play.google.com/store/apps/details?id=com.topfreegames.bikeracefreeworld,com.topfreegames.bikeracefreeworld,India,411
https://play.google.com/store/apps/details?id=com.appwallet.policephotosuit,com.appwallet.policephotosuit,India,412
https://play.google.com/store/apps/details?id=com.cassette.aquapark,com.cassette.aquapark,India,413
https://play.google.com/store/apps/details?id=com.orange.coloring.learn.kids,com.orange.coloring.learn.kids,India,414
https://play.google.com/store/apps/details?id=com.bright.photo.editor,com.bright.photo.editor,India,415
https://play.google.com/store/apps/details?id=com.chillingo.robberybobfree.android.row,com.chillingo.robberybobfree.android.row,India,416
https://play.google.com/store/apps/details?id=com.mustardgames.impossiblecarstunts.mega.ramp.carstunts.racing,com.mustardgames.impossiblecarstunts.mega.ramp.carstunts.racing,India,417
https://play.google.com/store/apps/details?id=com.slideshow.with.music,com.slideshow.with.music,India,418
https://play.google.com/store/apps/details?id=com.cocoplay.shoppinggirl,com.cocoplay.shoppinggirl,India,419
https://play.google.com/store/apps/details?id=com.test.tikkik,com.test.tikkik,India,420
https://play.google.com/store/apps/details?id=com.ticno.olymptrade,com.ticno.olymptrade,India,421
https://play.google.com/store/apps/details?id=com.money91,com.money91,India,422
https://play.google.com/store/apps/details?id=com.ryzmedia.tatasky,com.ryzmedia.tatasky,India,423
https://play.google.com/store/apps/details?id=com.zhiliaoapp.musically,com.zhiliaoapp.musically,India,2
https://play.google.com/store/apps/details?id=com.ludo.king,com.ludo.king,India,3
https://play.google.com/store/apps/details?id=us.zoom.videomeetings,us.zoom.videomeetings,India,4
https://play.google.com/store/apps/details?id=com.dts.freefireth,com.dts.freefireth,India,5
https://play.google.com/store/apps/details?id=nic.goi.aarogyasetu,nic.goi.aarogyasetu,India,6
https://play.google.com/store/apps/details?id=com.google.android.apps.meetings,com.google.android.apps.meetings,India,7
https://play.google.com/store/apps/details?id=com.kwai.global.video.social.kwaigo,com.kwai.global.video.social.kwaigo,India,8
https://play.google.com/store/apps/details?id=com.google.android.apps.nbu.paisa.user,com.google.android.apps.nbu.paisa.user,India,9
https://play.google.com/store/apps/details?id=com.rubygames.assassin,com.rubygames.assassin,India,10
https://play.google.com/store/apps/details?id=com.instagram.android,com.instagram.android,India,11
https://play.google.com/store/apps/details?id=com.miniclip.carrom,com.miniclip.carrom,India,12
https://play.google.com/store/apps/details?id=com.facebook.katana,com.facebook.katana,India,13
https://play.google.com/store/apps/details?id=com.lenovo.anyshare.gps,com.lenovo.anyshare.gps,India,14
https://play.google.com/store/apps/details?id=app.buzz.share,app.buzz.share,India,15
https://play.google.com/store/apps/details?id=com.tencent.iglite,com.tencent.iglite,India,16
https://play.google.com/store/apps/details?id=com.mxtech.videoplayer.ad,com.mxtech.videoplayer.ad,India,17
https://play.google.com/store/apps/details?id=com.wildspike.wormszone,com.wildspike.wormszone,India,137
https://play.google.com/store/apps/details?id=com.camerasideas.instashot,com.camerasideas.instashot,India,138
https://play.google.com/store/apps/details?id=com.myntra.android,com.myntra.android,India,139
https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.mango,com.google.android.apps.youtube.mango,India,140
https://play.google.com/store/apps/details?id=sg.bigo.live,sg.bigo.live,India,141
https://play.google.com/store/apps/details?id=com.ril.ajio,com.ril.ajio,India,142
https://play.google.com/store/apps/details?id=com.starmakerinteractive.starmaker,com.starmakerinteractive.starmaker,India,143
https://play.google.com/store/apps/details?id=vsin.t16_funny_photo,vsin.t16_funny_photo,India,144
